TOT_DT,LINK_ID,LANE_NO,Thresholds,recon_error,anomaly,link_anomaly,true_anomaly,is_correct
2025-09-20 14:38:00,SH001N0003_ACSR000002,8,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000002,8,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000002,9,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000002,9,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000003,1,5.7947316e-05,0.00014320585,1,1,0,0
2025-09-20 14:39:00,SH001N0003_ACSR000003,1,5.7947316e-05,0.00013660394,1,1,0,0
2025-09-20 14:38:00,SH001N0003_ACSR000003,2,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000003,2,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000003,3,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000003,3,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000003,4,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000003,4,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000003,5,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000003,5,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000003,6,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000003,6,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000003,7,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000003,7,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000003,8,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000003,8,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000003,9,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000003,9,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000004,1,0.00027520492,6.31791e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000004,1,0.00027520492,3.7138914e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000004,2,0.00074197707,4.8354967e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000004,2,0.00074197707,2.6934275e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000004,3,0.00021084394,1.927562e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000004,3,0.00021084394,1.8451661e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000004,4,6.613971e-05,5.2202206e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000004,4,6.613971e-05,2.7981609e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000004,5,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000004,5,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000004,6,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000004,6,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000004,7,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000004,7,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000004,8,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000004,8,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000004,9,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000004,9,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0004_ACSR000001,1,0.0001084331,0.00012583277,1,1,0,0
2025-09-20 14:39:00,SH001N0004_ACSR000001,1,0.0001084331,8.541277e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0004_ACSR000001,2,8.142014e-05,6.304072e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0004_ACSR000001,2,8.142014e-05,5.3788393e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0004_ACSR000001,3,8.196546e-05,4.3350505e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0004_ACSR000001,3,8.196546e-05,3.8716335e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0004_ACSR000001,4,0.00012130865,5.009887e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0004_ACSR000001,4,0.00012130865,5.3332427e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0004_ACSR000001,5,0.00014000665,3.1772935e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0004_ACSR000001,5,0.00014000665,7.6978315e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0004_ACSR000001,6,0.00010170822,4.280402e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0004_ACSR000001,6,0.00010170822,0.00011008002,1,1,0,0
2025-09-20 14:38:00,SH001N0004_ACSR000001,7,0.00023422051,4.047103e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0004_ACSR000001,7,0.00023422051,0.00019527863,0,1,0,1
2025-09-20 14:38:00,SH001N0004_ACSR000001,8,0.0017383068,6.499e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0004_ACSR000001,8,0.0017383068,8.9527086e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0004_ACSR000001,9,0.0063415733,0.0004997517,0,1,0,1
2025-09-20 14:39:00,SH001N0004_ACSR000001,9,0.0063415733,4.5443645e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0004_ACSR000002,1,8.696139e-05,4.7692603e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0004_ACSR000002,1,8.696139e-05,0.00011934166,1,1,0,0
2025-09-20 14:38:00,SH001N0004_ACSR000002,2,0.00010409131,3.2822194e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0004_ACSR000002,2,0.00010409131,7.135595e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0004_ACSR000002,3,0.00010504806,0.00018546959,1,1,0,0
2025-09-20 14:39:00,SH001N0004_ACSR000002,3,0.00010504806,0.00018979002,1,1,0,0
2025-09-20 14:38:00,SH001N0004_ACSR000002,4,0.0010817529,0.0001848132,0,1,0,1
2025-09-20 14:39:00,SH001N0004_ACSR000002,4,0.0010817529,0.00019024644,0,1,0,1
2025-09-20 14:38:00,SH001N0004_ACSR000002,5,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0004_ACSR000002,5,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0004_ACSR000002,6,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0004_ACSR000002,6,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0004_ACSR000002,7,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0004_ACSR000002,7,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0004_ACSR000002,8,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0004_ACSR000002,8,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0004_ACSR000002,9,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0004_ACSR000002,9,1.37081215e-05,1.37081215e-05,0,1,0,1
2025-09-20 14:38:00,SH001N0004_ACSR000003,1,0.00013932824,0.00014332776,1,1,0,0
2025-09-20 14:39:00,SH001N0004_ACSR000003,1,0.00013932824,8.988339e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0004_ACSR000003,2,0.00010947187,8.67638e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0004_ACSR000003,2,0.00010947187,4.5746383e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0004_ACSR000003,3,0.000109148095,7.112459e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0004_ACSR000003,3,0.000109148095,9.074772e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0004_ACSR000003,4,0.00010841594,5.492949e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0004_ACSR000003,4,0.00010841594,6.5650725e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0004_ACSR000003,5,0.00014142785,5.0589275e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0004_ACSR000003,5,0.00014142785,5.9588925e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0004_ACSR000003,6,0.00012536539,7.449877e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0004_ACSR000003,6,0.00012536539,8.725821e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0004_ACSR000003,7,0.00015007552,4.748361e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0004_ACSR000003,7,0.00015007552,7.407681e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0004_ACSR000003,8,0.00017433078,0.00010789014,0,1,0,1
2025-09-20 14:39:00,SH001N0004_ACSR000003,8,0.00017433078,6.7354136e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0004_ACSR000003,9,0.0001880677,6.282527e-05,0,1,0,1
2025-09-20 14:39:00,SH001N0004_ACSR000003,9,0.0001880677,2.1841219e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0004_ACSR000004,1,0.00021101384,0.00013264219,0,0,0,1
2025-09-20 14:39:00,SH001N0004_ACSR000004,1,0.00021101384,0.00014295975,0,0,0,1
